code,nums,totalReturn,maxDrawDown,mddStart,mddEnd,maxDrawup,mduStart,mduEnd,sharpe,annualizedReturns,annualizedVolatility,variance,perValidData,durationYear,sdday,maxupday,permaxupday,offsdupday,maxdownday,permaxdownday,offsddownday,sdweek,maxupweek,permaxupweek,offsdupweek,maxdownweek,permaxdownweek,offsddownweek,sdmonth,maxupmonth,permaxupmonth,offsdupmonth,maxdownmonth,permaxdownmonth,offsddownmonth,sdyear,maxupyear,permaxupyear,offsdupyear,maxdownyear,permaxdownyear,offsddownyear,tags,createtime
501071,281,0.917400,0.192043,20200224,20200323,1.117647,20190606,20200902,2.432584,0.606614,0.237038,0.070869,0.022000,34.994522,0.266212,20190726,0.052126,-0.804195,20200203,-0.067335,-1.252939,0.021541,20200203,0.086102,2.997227,20200224,-0.073590,-4.416341,0.054358,20200701,0.136563,1.512294,20200302,-0.101963,-2.875772,nan,20190328,0.259700,nan,20190328,0.259700,nan,封闭式;混合型 ;高风险,19700101
501072,327,0.007600,0.139468,20200114,20200323,0.207054,20200323,20200818,-0.145960,0.005743,0.166188,0.001952,0.888587,1.008219,0.044181,20200706,0.048309,0.093442,20200203,-0.078213,-2.770289,0.019155,20200629,0.061198,2.194921,20200713,-0.050037,-3.612232,0.037718,20200701,0.097060,1.573323,20200302,-0.065047,-2.724578,nan,20190605,0.010900,nan,20190605,0.010900,nan,开放式;股票型 ;高风险,20190605
501073,221,0.105600,0.010007,20200828,20200909,0.109311,20190614,20200828,2.124392,0.080805,0.023915,0.000917,0.017302,34.994522,0.030277,20200716,0.011210,-0.629751,20200907,-0.004876,-1.161057,0.002045,20200713,0.009527,3.658820,20200601,-0.005211,-3.548272,0.008939,20200701,0.026575,1.972787,20200506,-0.003991,-1.446460,nan,20190611,0.028200,nan,20190611,0.028200,nan,封闭式;混合型 ;高风险,19700101
501075,278,0.531800,0.174570,20200225,20200401,0.664558,20190712,20200818,1.345562,0.407788,0.280766,0.039149,0.770083,0.989041,0.197860,20200310,0.041882,-0.788326,20200203,-0.095686,-1.483604,0.027665,20200203,0.117030,3.230241,20200713,-0.076437,-3.762931,0.068897,20200203,0.157074,1.279833,20200302,-0.133830,-2.942457,nan,20190612,0.132800,nan,20190612,0.132800,nan,封闭式;混合型 ;高风险,20190612
501076,229,0.461500,0.136336,20200225,20200323,0.569468,20190614,20200803,1.608601,0.352401,0.200423,0.026688,0.017928,34.994522,0.163364,20200204,0.035047,-0.785470,20200316,-0.048060,-1.294191,0.020264,20200203,0.083371,3.114187,20200713,-0.051890,-3.560687,0.057813,20200203,0.117243,1.027977,20200302,-0.089195,-2.542825,nan,20190610,0.091300,nan,20190610,0.091300,nan,封闭式;混合型 ;高风险,19700101
501077,262,0.901800,0.231325,20200225,20200401,1.018715,20190617,20200901,1.990004,0.690057,0.331686,0.098907,0.020512,34.994522,0.314495,20200204,0.068530,-0.782095,20200203,-0.086021,-1.273520,0.033880,20200203,0.139749,3.124800,20200224,-0.093271,-3.752951,0.085432,20200601,0.187893,1.199324,20200302,-0.160928,-2.883692,nan,20190611,0.224100,nan,20190611,0.224100,nan,封闭式;混合型 ;高风险,19700101
501078,241,0.899300,0.235686,20200225,20200323,1.005402,20190614,20200713,2.188175,0.688144,0.300773,0.100061,0.018868,34.994522,0.316325,20200204,0.060619,-0.808365,20200203,-0.072334,-1.228671,0.032249,20200203,0.131718,3.084442,20200224,-0.082177,-3.548226,0.095493,20200203,0.208938,1.187988,20200302,-0.176240,-2.845576,nan,20190611,0.126400,nan,20190611,0.126400,nan,封闭式;混合型 ;高风险,19700101
501100,210,0.218300,0.018429,20200430,20200717,0.225926,20171201,20200430,0.825889,0.060318,0.036709,0.005903,0.215164,2.673973,0.076833,20200207,0.009145,-0.880982,20200605,-0.009290,-1.120908,0.000410,20190630,0.003435,7.374013,20200309,-0.002239,-6.457993,0.004752,20191101,0.014354,2.020540,20171103,-0.007270,-2.529918,0.044670,20190104,0.081285,0.819675,20170217,-0.001900,-1.042534,开放式;债券型 ;低风险,20170217
501101,521,0.101090,0.006791,20190215,20190424,0.101190,20170809,20190919,2.040236,0.047795,0.008722,0.001075,0.961255,1.484931,0.032791,20180418,0.005029,-0.846619,20180809,-0.002263,-1.069003,0.001097,20180319,0.004403,3.012426,20180806,-0.002453,-3.235823,0.003111,20180702,0.011281,2.626195,20190401,-0.004047,-2.300781,0.037424,20180102,0.064625,0.726815,20170809,0.011699,-0.687398,开放式;债券型 ;低风险,20170809
501105,767,0.172583,0.050639,20200429,20200713,0.228177,20170809,20200429,0.923419,0.054872,0.026934,0.004397,0.955168,2.200000,0.066307,20180418,0.014340,-0.783730,20181213,-0.006832,-1.103040,0.003658,20180319,0.012398,2.389036,20200601,-0.011709,-4.200830,0.008175,20181101,0.017626,1.156145,20200701,-0.016713,-3.044464,0.062626,20180102,0.123326,0.969227,20170809,0.007499,-0.880254,开放式;债券型 ;低风险,20170809
